id,name,alias,operator,country,region,lat,lon,precision,env,kind,target,status,since,crew,duration,url,afi,tier,score_isolation,score_environment,score_duration,score_eva,score_comms,score_closure,score_ops,score_science
pavilion-lake,Pavilion Lake Research Project,PLRP,NASA / Canadian Space Agency / academic consortium,Canada,North America,50.86,-121.735,approx,underwater,field,Moon & Mars,historic,2008,submersible pilots + science backroom,1–2 week campaigns,https://www.nasa.gov/analog-missions/,63.6,III,2,3,2,4,4,1,5,5
mmaars,MMAARS Martian-Lunar Analog Settlement,MMAARS,Mars Moon Astronautics Academy & Research Science,United States,North America,35.0594,-118.152,approx,desert,habitat,Moon & Mars,active,2020,6–12,12-day programmes,https://www.mmaars.com/,52.8,II,3,4,2,3,2,2,3,2
mau,Mars Academy USA — Mars Basecamp,MAU,Mars Academy USA,United States,North America,34.447,-118.34,approx,desert,habitat,Mars,active,2016,6–10,3–12 days,https://marsacademyusa.com/,45.2,II,3,3,1,3,2,1,3,2
pisces,PISCES Planetary Analog Test Site,PISCES,Pacific International Space Center for Exploration Systems,United States,North America,19.76,-155.53,approx,volcanic,field,Moon & Mars,active,2007,test teams,days – weeks,https://pacificspacecenter.com/,55.6,III,2,5,1,3,2,1,4,5
jules-lodge,Jules' Undersea Lodge,Jules,Marine Resources Development Foundation,United States,North America,25.123,-80.416,approx,underwater,underwater,Deep space,active,1986,2–6,1–100 days,https://jul.com/,61,III,5,2,3,4,2,3,2,3
marinelab,MarineLab Undersea Laboratory,MarineLab,Marine Resources Development Foundation,United States,North America,25.1226,-80.4142,approx,underwater,underwater,Deep space,active,1984,3,hours – days,https://mrdf.org/,47.8,II,4,2,1,4,2,2,2,2
habitat-marte,Habitat Marte,Habitat Marte,Habitat Marte / Universidade Federal do Rio Grande do Norte network,Brazil,South America,-5.79,-36.03,approx,desert,habitat,Mars,active,2017,4–8,1–15 days,https://www.habitatmarte.com/,54.6,II,3,3,2,3,2,3,3,3
atacama-arads,Atacama Desert — ARADS / Yungay,Atacama,NASA Ames / international astrobiology consortium,Chile,South America,-24.09,-69.98,approx,desert,field,Mars,seasonal,2016,field teams,2–4 week campaigns,https://www.nasa.gov/ames/,59.2,III,3,5,2,2,2,1,4,5
lunares,LunAres Research Station,LunAres,Space Garden / Space is More,Poland,Europe,53.1799,16.742,approx,chamber,habitat,Moon & Mars,active,2017,6,1–4 weeks,https://lunares.space/,68.2,III,5,2,3,3,3,3,4,4
aatc,Analog Astronaut Training Center — Habitat 2.0,AATC,Analog Astronaut Training Center,Poland,Europe,49.7833,21.0333,approx,chamber,habitat,Moon & Mars,active,2018,2–6,3–14 days,https://www.astronaut.center/,64.8,III,5,1,2,3,3,3,4,5
astroland-ares,Astroland — Ares Station,Ares Station,Astroland Interplanetary Agency,Spain,Europe,43.25,-3.567,approx,cave,habitat,Mars,active,2018,3–6,3–14 days,https://astrolandagency.com/,67.4,III,5,4,2,3,3,3,3,4
esa-caves,ESA CAVES — Sa Grutta cave system,CAVES,European Space Agency,Italy,Europe,40.27,9.47,approx,cave,expedition,Deep space,active,2011,6 astronauts,~2 weeks (6 days underground),https://www.esa.int/Science_Exploration/Human_and_Robotic_Exploration/Caves,77.4,IV,5,4,2,4,4,3,5,4
pangaea,ESA PANGAEA / PANGAEA-X — Lanzarote,PANGAEA,European Space Agency,Spain,Europe,29.03,-13.63,approx,volcanic,field,Moon & Mars,active,2016,3–6 astronauts + instructors,2–3 week courses,https://www.esa.int/Science_Exploration/Human_and_Robotic_Exploration/Pangaea,66,III,2,5,2,4,3,1,5,5
luna-eac,LUNA Analogue Facility & :envihab,LUNA,ESA European Astronaut Centre / DLR,Germany,Europe,50.853,7.118,approx,analog-terrain,field,Moon,active,2024,test crews,hours – weeks,https://www.esa.int/About_Us/EAC,65.2,III,2,4,1,5,3,2,5,5
concordia,"Concordia Station, Dome C",White Mars,IPEV (France) / PNRA (Italy) with ESA,Antarctica,Antarctica,-75.1,123.3333,exact,polar,expedition,Deep space,active,2005,12–16 winter-over,9 months winter-over,https://blogs.esa.int/concordia/,78.6,IV,5,3,5,3,3,3,4,5
nek-sirius,NEK Ground Experimental Complex — SIRIUS / Mars-500,NEK,"Institute of Biomedical Problems (IBMP), RAS",Russia,Europe,55.71,37.57,approx,chamber,chamber,Deep space,active,1960,3–10,17 days – 520 days,https://www.nasa.gov/about-nek-sirius/,81,IV,5,1,5,2,5,4,5,5
hydronaut,Hydronaut DeepLab H03 / Little Moon City Prague,Hydronaut,Hydronaut Project / CTU Prague,Czechia,Europe,50.6167,15.3167,approx,underwater,underwater,Moon,active,2019,3,days – weeks,https://hydronaut.eu/en,65.6,III,5,2,2,4,3,3,4,3
asclepios,Asclepios Missions — Gotthard massif,Asclepios,EPFL Space Center / Asclepios Association,Switzerland,Europe,46.556,8.567,approx,cave,habitat,Moon & Mars,active,2021,6,1–2 weeks,https://asclepios.ch/,67.4,III,4,3,2,4,4,3,4,3
chill-ice,CHILL-ICE — Stefánshellir lava tube,CHILL-ICE,ICEE Space / EuroMoonMars / ILEWG,Iceland,Europe,64.758,-20.893,approx,cave,expedition,Moon,seasonal,2021,3 per mission,3 days (8-hour construction EVA),https://euromoonmars.space/Chillice/main/,69,III,4,5,1,5,3,2,4,4
ola-alqueva,Alqueva Mars Analog Station — OLA,OLA,Observatório do Lago Alqueva / Dark Sky Alqueva,Portugal,Europe,38.44,-7.47,approx,desert,habitat,Mars,active,2025,4–6,1–2 weeks,https://www.olagoalqueva.com/en/worlds-biggest-analog,57.4,III,3,3,2,3,3,2,4,3
euromars,EuroMARS (Krafla),EuroMARS,The Mars Society,Iceland,Europe,65.7686,-16.7585,approx,volcanic,planned,Mars,planned,2003,6 (design),—,https://www.marssociety.org/,0,I,0,0,0,0,0,0,0,0
esh-x,ESH-X portable lunar base simulator,ESH-X,EuroMoonMars / ILEWG / ESTEC,Netherlands,Europe,52.22,4.42,approx,chamber,habitat,Moon,active,2024,2–4,days,https://euromoonmars.space/,42.4,II,3,1,1,2,3,1,3,3
mamba,MaMBA — Moon and Mars Base Analog,MaMBA,"ZARM, University of Bremen",Germany,Europe,53.105,8.854,approx,chamber,habitat,Moon & Mars,active,2018,2–4,days,https://www.zarm.uni-bremen.de/,46.4,II,3,1,1,2,2,3,3,4
shee,SHEE — Self-deployable Habitat for Extreme Environments,SHEE,European Commission FP7 consortium (LIQUIFER et al.),Spain,Europe,37.69,-6.56,approx,analog-terrain,historic,Moon & Mars,historic,2015,2,up to 2 weeks,https://cordis.europa.eu/project/id/312747,57,III,3,4,2,3,2,3,3,3
rio-tinto,Río Tinto Mars analog,Río Tinto,Centro de Astrobiología (CSIC-INTA) / NASA MARTE / OeWF,Spain,Europe,37.69,-6.56,approx,desert,field,Mars,active,2003,field teams,1–3 week campaigns,https://cab.inta-csic.es/,61,III,2,5,2,3,3,1,4,5
kaunertal,AMADEE-15 — Kaunertal Glacier,Kaunertal,Austrian Space Forum (OeWF),Austria,Europe,46.86,10.73,approx,polar,expedition,Mars,historic,2015,2 suited + ~20 support,12 days,https://oewf.org/en/amadee-program/,66.4,III,3,4,1,5,4,1,5,4
oewf-mcc,OeWF Mission Control (Innsbruck / MICO-VIE Vienna),OeWF MCC,Austrian Space Forum (OeWF),Austria,Europe,47.2692,11.4041,approx,chamber,field,Mars,active,2010,30–60 flight controllers,campaign-length,https://oewf.org/en/,47,II,0,0,4,0,5,0,5,5
eras-ims,ERAS / V-ERAS — European Mars Analog Station,ERAS,Italian Mars Society,Italy,Europe,45.4642,9.19,approx,chamber,chamber,Mars,active,2012,4–6,days,https://www.marssociety.it/,39.6,I,2,1,1,3,3,0,3,3
etna-arches,Mount Etna — ARCHES / ROBEX demonstration site,Etna,DLR / ESA / Helmholtz consortium,Italy,Europe,37.75,14.995,approx,volcanic,field,Moon,seasonal,2017,robotic teams + operators,4–6 week campaigns,https://www.dlr.de/,58.4,III,2,5,1,2,4,0,5,5
lunark,"LUNARK — Moriusaq, Northern Greenland",LUNARK,SAGA Space Architects,Greenland,Europe,76.75,-69.9,approx,arctic,historic,Moon,historic,2020,2,61 days,https://saga.dk/projects/lunark,70.8,IV,5,4,4,3,3,3,2,4
amase,AMASE — Arctic Mars Analog Svalbard Expedition,AMASE,Vestfonna Geophysical / NASA / ESA / Norwegian Space Agency,Norway,Europe,79.42,13.3,approx,arctic,expedition,Mars,historic,2003,field teams,2–3 week expeditions,https://www.nasa.gov/,67,III,4,5,2,3,3,1,4,5
ny-alesund,Ny-Ålesund research settlement,Ny-Ålesund,Kings Bay AS / multinational institutes,Norway,Europe,78.925,11.93,exact,arctic,expedition,Deep space,active,1968,30–150 seasonal,winter-over,https://kingsbay.no/,61,III,4,3,4,2,2,2,3,4
deep-sentinel,DEEP Sentinel,Sentinel,DEEP,United Kingdom,Europe,51.651,-2.658,approx,underwater,planned,Deep space,planned,2027,6 per module,up to 28 days saturation,https://www.deep.com/,0,I,0,0,0,0,0,0,0,0
halley,Halley VI Research Station,Halley VI,British Antarctic Survey (with ESA),Antarctica,Antarctica,-75.5667,-25.5167,approx,polar,expedition,Deep space,seasonal,2013,~13 winter (historically),9 months winter-over,https://www.bas.ac.uk/polar-operations/sites-and-facilities/facility/halley/,78.6,IV,5,3,5,3,3,3,4,5
neumayer,Neumayer Station III,Neumayer III,Alfred Wegener Institute (with DLR/ESA),Antarctica,Antarctica,-70.6667,-8.2667,approx,polar,expedition,Deep space,active,2009,9 winter-over,9 months winter-over,https://www.awi.de/,80.8,IV,5,3,5,3,3,4,4,5
vostok,Vostok Station,Vostok,Russian Antarctic Expedition,Antarctica,Antarctica,-78.4645,106.8339,exact,polar,expedition,Deep space,active,1957,~13 winter-over,12 months,https://www.aari.ru/,69.2,III,5,3,5,2,2,3,3,4
south-pole,Amundsen–Scott South Pole Station,South Pole,United States Antarctic Program (NSF),Antarctica,Antarctica,-90,0,exact,polar,expedition,Deep space,active,1956,~45 winter-over,8.5 months winter-over,https://www.nsf.gov/geo/opp/support/southp.jsp,73.8,IV,5,2,5,2,3,3,4,5
mcmurdo,McMurdo Station,McMurdo,United States Antarctic Program (NSF),Antarctica,Antarctica,-77.8419,166.6863,exact,polar,expedition,Deep space,active,1956,"150 winter / 1,000 summer",6–12 months,https://www.usap.gov/,65.8,III,4,4,4,2,2,1,4,5
d-mars,D-MARS — Desert Mars Analog Ramon Station,D-MARS,D-MARS / Israel Space Agency,Israel,Middle East,30.59,34.8,approx,desert,habitat,Mars,active,2017,"4–6 ""ramonauts""",4 days – 1 month,https://www.d-mars.org/,77.6,IV,4,5,3,4,4,2,5,4
petra-wadi-rum,PETRA Analog Habitat — Wadi Rum,PETRA,Jordan Space Research Initiative (JSRI),Jordan,Middle East,29.576,35.42,approx,desert,habitat,Mars,active,2024,4–6,1–2 weeks,https://www.jsri.space/analog-missions,67.6,III,4,5,2,3,4,2,4,3
mena-wadi-rum,MENA Analog Habitat — Wadi Rum,MENA-00-WR,MENA Engineering Education and Training,Jordan,Middle East,29.59,35.43,approx,desert,habitat,Mars,active,2025,4–8,1–2 weeks,https://menaorg.com/analog-mission-2025,62.6,III,4,5,2,3,3,2,3,3
amadee18-oman,AMADEE-18 / Space Habitat Center — Dhofar,Dhofar,Austrian Space Forum / Oman Astronomical Society / Zone 88,Oman,Middle East,18.13,55.18,approx,desert,field,Mars,active,2018,5 analog astronauts + ~100 support,4 weeks,https://oewf.org/en/amadee-program/,82,IV,4,5,3,5,4,2,5,5
amadee24-armash,AMADEE-24 Mars Analog Station — Armash,Armash,Austrian Space Forum / Armenia Aerospace Agency,Armenia,Middle East,39.89,44.78,approx,desert,field,Mars,active,2024,6 analog astronauts,4 weeks,https://oewf.org/en/amadee-24/,82,IV,4,4,3,5,5,2,5,5
oaseas,OASEAS — Omni-Africa Space Exploration Analog Simulation,OASEAS,Mars Society Kenya,Kenya,Africa,3,37.3,approx,desert,habitat,Mars,active,2024,4–6,1–2 weeks,https://kenyamarssociety.org/,60.2,III,4,4,2,3,3,2,3,3
mars-science-city,Mars Science City,MSC,Mohammed Bin Rashid Space Centre,United Arab Emirates,Middle East,25.13,55.45,approx,analog-terrain,planned,Mars,planned,2017,—,up to 1 year (design intent),https://www.mbrsc.ae/,0,I,0,0,0,0,0,0,0,0
danakil,Danakil Depression / Dallol,Danakil,Europlanet / international astrobiology teams,Ethiopia,Africa,14.2417,40.3,approx,volcanic,field,Mars,seasonal,2016,field teams,1–2 week campaigns,https://www.europlanet-society.org/,49,II,3,5,1,2,1,0,3,5
yuegong,Yuegong-1 (Lunar Palace 1),月宫一号,Beihang University,China,Asia,39.98,116.345,approx,chamber,chamber,Moon,active,2014,4,"105 days, 370 days",https://www.buaa.edu.cn/,73.4,IV,5,1,5,1,3,5,4,5
mars-base-1,Mars Base 1 Camp,Mars Base 1,C-Space (with China Astronaut Research and Training Center support),China,Asia,38.45,102.1,approx,desert,habitat,Mars,active,2019,visitor groups,1–5 days,http://www.c-space.cn/,35.2,I,2,4,1,2,1,1,2,1
qaidam,Qaidam Basin / Lenghu Mars analog,Qaidam,Chinese Academy of Sciences / Qinghai provincial programmes,China,Asia,38.75,93.33,approx,desert,field,Mars,active,2018,field teams,campaigns,https://www.cas.cn/,49.4,II,3,5,1,2,2,0,3,4
hab1-ladakh,"Hab-1 Analog Mission — Leh, Ladakh",Hab-1,ISRO Human Spaceflight Centre / AAKA Space Studio / IIT Bombay / Univ. of Ladakh,India,Asia,34.1642,77.5848,approx,altitude,habitat,Moon & Mars,active,2024,1–4,3 weeks (first mission),https://www.isro.gov.in/,67.8,III,4,5,3,3,3,3,3,3
tso-kar,Tso Kar & Changthang Mars analog terrain,Tso Kar,Indian academic consortia / Univ. of Ladakh,India,Asia,33.32,78,approx,altitude,field,Mars,seasonal,2016,field teams,weeks,https://www.isro.gov.in/,50.4,II,4,5,2,2,1,0,2,4
ceef-rokkasho,CEEF — Closed Ecology Experiment Facilities,CEEF,Institute for Environmental Sciences,Japan,Asia,40.96,141.37,approx,chamber,chamber,Deep space,historic,1998,2,up to 2 weeks closure,https://www.ies.or.jp/,52,II,4,1,2,0,2,5,3,4
adama-adelaide,ADAMA Mission — Adelaide,ADAMA,University of Adelaide / ICEE Space,Australia,Oceania,-34.92,138.604,approx,chamber,habitat,Moon & Mars,active,2025,4–6,2 weeks,https://www.adelaide.edu.au/,52.6,II,3,1,2,2,4,2,4,3
mars-oz,MARS-Oz / Mars Arkaroola Research Station,MARS-Oz,Mars Society Australia,Australia,Oceania,-30.34,139.34,approx,desert,planned,Mars,planned,2001,6 (design),—,https://www.marssociety.org.au/project/mars-oz,0,I,0,0,0,0,0,0,0,0
bios-3,BIOS-3,BIOS-3,"Institute of Biophysics, Krasnoyarsk",Russia,Asia,56.01,92.85,approx,chamber,historic,Deep space,historic,1972,2–3,up to 180 days,http://www.ibp.ru/,61,III,5,1,4,0,2,5,3,4
star-city-hydrolab,Gagarin Cosmonaut Training Center Hydrolab,Star City,GCTC / Roscosmos,Russia,Europe,55.879,38.118,approx,underwater,field,Deep space,active,1980,2 suited + dive team,4–6 hour runs,http://www.gctc.ru/,48.2,II,1,1,0,5,4,1,5,3
dachstein,Dachstein Giant Ice Cave — Mars2012,Dachstein,Austrian Space Forum (OeWF),Austria,Europe,47.535,13.61,approx,cave,expedition,Mars,historic,2012,2 suited + ~60 support,5 days,https://oewf.org/en/amadee-program/,66.4,III,3,4,1,5,4,1,5,4
erfoud,"Mars2013 — Erfoud, Northern Sahara",Erfoud,Austrian Space Forum / Ibn Battuta Centre,Morocco,Africa,31.43,-4.23,approx,desert,field,Mars,historic,2013,3 suited + ~100 support,4 weeks,https://oewf.org/en/amadee-program/,79.8,IV,4,5,3,5,4,1,5,5
askja,Askja & Holuhraun lava fields,Askja,Multiple (NASA Apollo era; ESA/academic today),Iceland,Europe,65.03,-16.75,approx,volcanic,field,Moon & Mars,seasonal,1965,field teams,days – weeks,https://en.vedur.is/,56.8,III,4,5,1,3,2,0,3,5
mistastin,Mistastin Lake impact structure,Mistastin,Canadian Space Agency / Western University,Canada,North America,55.883,-63.3,approx,crater,field,Moon,seasonal,2009,field teams,1–3 week campaigns,https://www.asc-csa.gc.ca/,70,IV,5,5,2,4,2,1,4,5
sudbury,Sudbury impact structure,Sudbury,Canadian Space Agency / academic consortia,Canada,North America,46.6,-81.183,approx,crater,field,Moon & Mars,active,2000,training groups,days,https://www.asc-csa.gc.ca/,47.4,II,1,4,0,2,4,0,4,5
tuz-golu,Tuz Gölü calibration site,Tuz Gölü,ESA / TÜBİTAK,Türkiye,Middle East,38.78,33.38,approx,desert,field,Mars,active,2009,instrument teams,days,https://www.esa.int/,30.8,I,1,4,0,0,1,0,3,4
jaxa-isolation,JAXA Closed Environment Isolation Facility,Tsukuba,Japan Aerospace Exploration Agency,Japan,Asia,36.065,140.13,approx,chamber,chamber,Deep space,active,2009,6–10,1–2 weeks,https://humans-in-space.jaxa.jp/en/,51,II,5,0,2,0,3,2,4,4
summit-greenland,"Summit Station, Greenland Ice Sheet",Summit,US National Science Foundation,Greenland,Europe,72.5796,-38.4592,exact,polar,expedition,Deep space,active,1989,5 winter / 40 summer,up to 6 months,https://geosummit.org/,62,III,5,3,4,2,2,2,3,3
proteus,PROTEUS underwater research station,PROTEUS,Fabien Cousteau Ocean Learning Center,Curaçao,South America,12.1224,-68.95,approx,underwater,planned,Deep space,planned,2028,12,up to 30 days,https://fabiencousteauolc.org/proteus,0,I,0,0,0,0,0,0,0,0
la-joya,Pampas de La Joya,La Joya,Universidad Católica de Santa María / international teams,Peru,South America,-16.7,-71.9,approx,desert,field,Mars,seasonal,2004,field teams,days – weeks,https://www.ucsm.edu.pe/,42,II,3,5,1,1,1,0,2,4
